Symbol,Name,URL
GC,GOLD,https://finance.yahoo.com/quote/GC%3DF?p=GC%3DF
SI,SILVER,https://finance.yahoo.com/quote/SI%3DF?p=SI%3DF
PL,PLATINUM,https://finance.yahoo.com/quote/PL%3DF?p=PL%3DF
HG,COPPER,https://finance.yahoo.com/quote/HG%3DF?p=HG%3DF
PA,PALLADIUM,https://finance.yahoo.com/quote/PA%3DF?p=PA%3DF
CL,CRUDE OIL,https://finance.yahoo.com/quote/CL%3DF?p=CL%3DF
NG,NATURAL GAS,https://finance.yahoo.com/quote/NG%3DF?p=NG%3DF
C,CORN,https://finance.yahoo.com/quote/C%3DF?p=C%3DF
O,OATS,https://finance.yahoo.com/quote/O%3DF?p=O%3DF
S,SOYBEANS,https://finance.yahoo.com/quote/S%3DF?p=S%3DF
CC,COCOA,https://finance.yahoo.com/quote/CC%3DF?p=CC%3DF
KC,COFFEE,https://finance.yahoo.com/quote/KC%3DF?p=KC%3DF
CT,COTTON,https://finance.yahoo.com/quote/CT%3DF?p=CT%3DF
SB,SUGAR,https://finance.yahoo.com/quote/SB%3DF?p=SB%3DF
