Country,Indices,URL
BRAZIL,BOVESPA,https://in.finance.yahoo.com/quote/%5EBVSP/
FRANCE,CAC 40,https://in.finance.yahoo.com/quote/%5EFCHI/
GERMANY,DAX,https://finance.yahoo.com/quote/%5EGDAXI/
US,DOW JONES,https://finance.yahoo.com/quote/%5EDJI/
UK,FTSE 100,https://finance.yahoo.com/quote/%5EFTSE/
HONG KONG,HANG SENG,https://finance.yahoo.com/quote/%5EHSI/
MEXICO,IPC,https://finance.yahoo.com/quote/%5EMXX/
INDONESIA,JAKARTA,https://finance.yahoo.com/quote/%5EJKSE/
MALAYSIA,KLSE,https://finance.yahoo.com/quote/%5EKLSE/
US,NASDAQ,https://finance.yahoo.com/quote/%5EIXIC/
JAPAN,NIKKEI 225,https://finance.yahoo.com/quote/%5EN225/
INDIA,SENSEX,https://in.finance.yahoo.com/quote/%5EBSESN/
SOUTH KOREA,SEOUL,https://finance.yahoo.com/quote/018680.KQ/
SINGAPORE,STRAITS TIMES,https://sg.finance.yahoo.com/quote/%5ESTI/
SWITZERLAND,SWISS MARKET,https://finance.yahoo.com/quote/%5ESSMI/
TAIWAN,TAIWAN WEIGHTED,https://finance.yahoo.com/quote/%5ETWII/
